Ссылка,Бренд,Модель,Цвет,Характеристики,Пол,Цена,Картинки,Картинки_в_файле
/p-nike-air-kukini-pilgrim-krossovki-nike-air-kukini-pilgrim-dv0659-300-V149720783,"Кроссовки Nike Air Kukini ""Pilgrim"" DV0659-300","Кроссовки Nike Air Kukini ""Pilgrim"" DV0659-300",,"{'Дизайн и цвет': 'Дизайн и цвет:Яркий зеленый цвет с инновационной системой фиксации, исключающей необходимость использования классических шнурков. Лаконичный и стильный внешний вид, который привлекает внимание и подчеркивает индивидуальность.', 'Материалы': 'Материалы:Верх выполнен из дышащих материалов, обеспечивающих отличную вентиляцию и комфорт на протяжении всего дня. Качественные синтетические и текстильные материалы гарантируют долговечность и износостойкость.', 'Подошва': 'Подошва:Легкая и удобная подошва из пеноматериала, которая обеспечивает превосходную амортизацию и мягкость при каждом шаге. Резиновая подметка обеспечивает отличное сцепление с поверхностью, что делает обувь идеально подходящей для длительной носки.', 'Технологии': 'Технологии:Оснащены инновационной системой фиксации, которая гарантирует плотное прилегание и стабильность при движении. Это позволяет избежать давления на стопу и создает ощущение легкости и свободы движений.', 'Стиль': 'Стиль:Уникальный внешний вид, который сочетает спортивный и повседневный стили, делая кроссовки универсальными. Они легко комбинируются с различными нарядами — от спортивного костюма до повседневных джинсов и футболок.'}",Мужской,5 840 ,https://cdn.4stand.com/large/64/2d/642ddbd5879304d0a6a5f807c2117310d0022dc6.jpg,642ddbd5879304d0a6a5f807c2117310d0022dc6.jpg
/p-nike-air-max-terrascape-plus-krossovki-nike-air-max-terrascape-plus-dq3977-100-V121139434,Кроссовки Nike Air Max Terrascape Plus DQ3977-100,Кроссовки Nike Air Max Terrascape Plus DQ3977-100,,"{'Дизай': 'Дизайн: Кроссовки выполнены в элегантном белом цвете с современными элементами дизайна, что подчеркивает их стильный и спортивный вид.', 'Материал': 'Материалы: Верхняя часть изготовлена из комбинации качественных синтетических материалов и текстиля, обеспечивающих прочность и долговечность.', 'Подошв': 'Подошва: Оснащены амортизационной технологией Air Max, обеспечивающей отличный уровень комфорта и поддержки при ходьбе и беге, снижая нагрузку на суставы.', 'Технологии и конструкци': 'Технологии и конструкция: Используется технология Terrascape, разработанная для улучшенного сцепления с поверхностью, что делает их подходящими для разнообразных типов активностей на различных типах местности.', 'Комфорт и поддержк': 'Комфорт и поддержка: Внутренняя часть кроссовок имеет мягкую подкладку, которая обеспечивает комфортное прилегание к стопе; удобная шнуровка фиксирует ногу, предотвращая натирания и скольжение.', 'Функциональност': 'Функциональность: Легкие и дышащие материалы верха способствуют вентиляции и поддерживают комфортный микроклимат внутри обуви, предотвращая перегрев и потливость.'}",Мужской,9 815 ,https://cdn.4stand.com/large/60/03/60037678331ebad276d159fb2f358c5aec6df73f.jpg,60037678331ebad276d159fb2f358c5aec6df73f.jpg
/p-nike-initiator-V149719276,Кроссовки Nike Initiator 394055-101,Кроссовки Nike Initiator 394055-101,,{},Мужской,7 828 ,https://cdn.4stand.com/large/f4/e0/f4e0ac819c604822aa2230c9d5122c081540c8f1.jpg,f4e0ac819c604822aa2230c9d5122c081540c8f1.jpg
/p-nike-zoom-2k-krossovki-nike-zoom-2k-ao0269-101-V121078315,Кроссовки Nike Zoom 2K AO0269-101,Кроссовки Nike Zoom 2K AO0269-101,,"{'Материалы верха': 'Материалы верха:Сетчатый материал и кожа, обеспечивающие вентиляцию и прочность.', 'Подошва': 'Подошва:Технология Zoom Air для амортизации ударных нагрузок и плавного перехода при движении.', 'Система шнуровки': 'Система шнуровки:Специальная конструкция и резиновые вставки для надежной фиксации стопы.', 'Дизайн': 'Дизайн:Черно-белая цветовая гамма с заметным логотипом Nike.', 'Подкладка': 'Подкладка:Мягкая подкладка для дополнительного комфорта при длительном ношении.', 'Внутренняя стелька': 'Внутренняя стелька:Анатомически сформованная стелька для поддержки свода стопы.'}",Мужской,8 822 ,https://cdn.4stand.com/large/17/a2/17a2b8acab5e8e4b22f1d757b98a0062ba748403.jpg,17a2b8acab5e8e4b22f1d757b98a0062ba748403.jpg
/p-nike-air-max-terrascape-plus-krossovki-nike-air-max-terrascape-plus-dv7513-001-V149722444,Кроссовки Nike Air Max Terrascape Plus DV7513-001,Кроссовки Nike Air Max Terrascape Plus DV7513-001,,"{'Амортизация Air Max': 'Амортизация Air Max:Воздушная подушка, встроенная в подошву, обеспечивает непревзойденную амортизацию, уменьшая нагрузку на суставы и повышая комфорт при ходьбе или беге.', 'Прочные материалы': 'Прочные материалы:Верхняя часть выполнена из качественного синтетического материала, который гарантирует долговечность и надежную фиксацию ноги.', 'Уникальный дизайн': 'Уникальный дизайн:Современный и стильный внешний вид, который легко сочетается с любыми элементами гардероба, делая вас центром внимания.', 'Подошва Terrascape': 'Подошва Terrascape:Специально разработанная подошва обеспечивает отличное сцепление с поверхностью, будь то асфальт, травяные покрытия или пересеченная местность.', 'Легкость и удобство': 'Легкость и удобство:Кроссовки обладают легким весом и продуманной конструкцией, что обеспечивает комфорт в течение всего дня.', 'Дышащие материалы': 'Дышащие материалы:Вставки из сетчатого материала улучшают вентиляцию и предотвращают перегрев ног.', 'Экологичность': 'Экологичность:Производство кроссовок включает использование переработанных материалов, снижая воздействие на окружающую среду.'}",Мужской,10 312 ,https://cdn.4stand.com/large/0a/b2/0ab2a76883d109b80706c917a6f74c9a6bc2bbcf.jpg,0ab2a76883d109b80706c917a6f74c9a6bc2bbcf.jpg
/p-nike-air-force-1-07-V149719248,Кроссовки Nike Air Force 1 07 CW2288-111,Кроссовки Nike Air Force 1 07 CW2288-111,,{},Мужской,13 790 ,https://cdn.4stand.com/large/81/a3/81a32e93f7c747bf8650e06775aa625f333e7b79.jpg,81a32e93f7c747bf8650e06775aa625f333e7b79.jpg
/p-nike-air-force-1-wild-V146034696,Кроссовки Nike Air Force 1 Wild FB2348-300,Кроссовки Nike Air Force 1 Wild FB2348-300,,{},"Женский, Мужской",10 064 ,https://cdn.4stand.com/large/9b/00/9b00be98480c2ce1cbe6ead977351ac69fc7e1e8.jpg,9b00be98480c2ce1cbe6ead977351ac69fc7e1e8.jpg
/p-krossovki-nike-downshifter-12-dd9293-001-V61375163,Кроссовки  Nike Downshifter 12 DD9293-001,Кроссовки Nike Downshifter 12 DD9293-001,Черный,"{'Сетчатый верх': 'Сетчатый верх:обеспечивает легкость и воздухопроницаемость.', 'Позиционирование сетки': 'Позиционирование сетки:сетка размещена в ключевых областях передней части стопы для охлаждения на основе данных от бегунов.', 'Ремешок в средней части стопы': 'Ремешок в средней части стопы:обеспечивает стабилизацию и вместе со шнурками надежно фиксирует стопу для плотного прилегания.', 'Амортизирующая подошва': 'Амортизирующая подошва:невероятно мягкий пеноматериал подошвы амортизирует на каждом шагу, повышенная высота способствуют мягкости при беге.', 'Резиновая подошва': 'Резиновая подошва:обеспечивает надежное сцепление с поверхностью.', 'Усиленная область носка и шнуровки': 'Усиленная область носка и шнуровки:накладки в этих областях повышают прочность.', 'Экологические материалы': 'Экологические материалы:как минимум 20% переработанных материалов используемых в модели.'}",,6 674 ,https://cdn.4stand.com/large/ab/28/ab28fce706c05281118942e89824f1693c981adc.jpg,ab28fce706c05281118942e89824f1693c981adc.jpg
/p-nike-air-max-plus-V135045224,Кроссовки Nike Air Max Plus FZ5049-222,Кроссовки Nike Air Max Plus FZ5049-222,,{},Мужской,11 306 ,https://cdn.4stand.com/large/bc/1e/bc1eba937fff23a4bd6ac56b9c7cdfd4084d7cd8.jpg,bc1eba937fff23a4bd6ac56b9c7cdfd4084d7cd8.jpg
/p-nike-initiator-krossovki-nike-initiator-394055-001-V149721291,Кроссовки Nike Initiator 394055-001,Кроссовки Nike Initiator 394055-001,,{},Мужской,8 076 ,https://cdn.4stand.com/large/5b/51/5b518bbcc702c8f4d24f72a2cf3c0c7f51367d49.jpg,5b518bbcc702c8f4d24f72a2cf3c0c7f51367d49.jpg
